playerID,awardID,yearID,lgID,tie,notes
abreujo02,TSN All-Star,2022,AL,,1B
alcansa01,Cy Young Award,2022,NL,,
alcansa01,TSN All-Star,2022,NL,,SP
altuvjo01,Silver Slugger,2022,AL,,2B
alvaryo01,Silver Slugger,2022,AL,,DH
alvaryo01,TSN All-Star,2022,AL,,DH
arenano01,Gold Glove,2022,NL,,3B
arenano01,Silver Slugger,2022,NL,,3B
arenano01,TSN All-Star,2022,NL,,3B
arraelu01,Silver Slugger,2022,AL,,UTIL
belljo02,Silver Slugger,2022,NL,,DH
bettsmo01,Gold Glove,2022,NL,,RF
bettsmo01,Silver Slugger,2022,NL,,OF
bettsmo01,TSN All-Star,2022,NL,,OF
biebesh01,Gold Glove,2022,AL,,P
bogaexa01,Silver Slugger,2022,AL,,SS
bogaexa01,TSN All-Star,2022,AL,,SS
claseem01,Reliever of the Year Award,2022,AL,,
claseem01,TSN All-Star,2022,AL,,RP
diazed04,Reliever of the Year Award,2022,NL,,
diazed04,TSN All-Star,2022,NL,,RP
donovbr01,Gold Glove,2022,NL,,UTIL
drurybr01,Silver Slugger,2022,NL,,UTIL
friedma01,Gold Glove,2022,NL,,P
gimenan01,Gold Glove,2022,AL,,2B
gimenan01,TSN All-Star,2022,AL,,2B
goldspa01,Hank Aaron Award,2022,NL,,
goldspa01,Most Valuable Player,2022,NL,,
goldspa01,Silver Slugger,2022,NL,,1B
goldspa01,TSN All-Star,2022,NL,,1B
grishtr01,Gold Glove,2022,NL,,CF
guerrvl02,Gold Glove,2022,AL,,1B
happia01,Gold Glove,2022,NL,,LF
harpebr03,NLCS MVP,2022,NL,,
harpebr03,TSN All-Star,2022,NL,,DH
harrimi04,Rookie of the Year,2022,NL,,
harrimi04,TSN All-Star,2022,NL,,OF
judgeaa01,Hank Aaron Award,2022,AL,,
judgeaa01,Most Valuable Player,2022,AL,,
judgeaa01,Silver Slugger,2022,AL,,OF
judgeaa01,TSN All-Star,2022,AL,,OF
kirkal01,Silver Slugger,2022,AL,,C
kirkal01,TSN All-Star,2022,AL,,C
kwanst01,Gold Glove,2022,AL,,LF
lemahdj01,Gold Glove,2022,AL,,UTIL
lowena01,Silver Slugger,2022,AL,,1B
mcneije01,Silver Slugger,2022,NL,,2B
mcneije01,TSN All-Star,2022,NL,,2B
ohtansh01,Outstanding DH Award,2022,,,
penaje02,ALCS MVP,2022,AL,,
penaje02,Gold Glove,2022,AL,,SS
penaje02,World Series MVP,2022,ML,,
ramirjo01,Silver Slugger,2022,AL,,3B
ramirjo01,TSN All-Star,2022,AL,,3B
realmjt01,Gold Glove,2022,NL,,C
realmjt01,Silver Slugger,2022,NL,,C
realmjt01,TSN All-Star,2022,NL,,C
rodgebr02,Gold Glove,2022,NL,,2B
rodriju01,Rookie of the Year,2022,AL,,
rodriju01,Silver Slugger,2022,AL,,OF
rodriju01,TSN All-Star,2022,AL,,OF
rodriju01,Silver Slugger,2022,NL,,OF
sotoju01,Silver Slugger,2022,NL,,OF
sotoju01,TSN All-Star,2022,NL,,OF
strawmy01,Gold Glove,2022,AL,,CF
swansda01,Gold Glove,2022,NL,,SS
swansda01,Gold Glove,2022,AL,,C
troutmi01,Silver Slugger,2022,AL,,OF
troutmi01,TSN All-Star,2022,AL,,OF
tuckeky01,Gold Glove,2022,AL,,RF
turneju01,Roberto Clemente Award,2022,,,
turnetr01,Silver Slugger,2022,NL,,SS
turnetr01,TSN All-Star,2022,NL,,SS
uriasra01,Gold Glove,2022,AL,,3B
verlaju01,Cy Young Award,2022,AL,,
verlaju01,TSN All-Star,2022,AL,,SP
walkech02,Gold Glove,2022,NL,,1B
