playerID,nameWholeYears
jacksed01,Edwin Jackson: 2003-2019
doteloc01,Octavio Dotel: 1999-2013
morgami01,Mike Morgan: 1978-2002
stairma01,Matt Stairs: 1992-2011
villoro01,Ron Villone: 1995-2009
bakopa01,Paul Bako: 1998-2009
batismi01,Miguel Batista: 1992-2012
blanche01,Henry Blanco: 1997-2013
chenbr01,Bruce Chen: 1998-2015
claytro01,Royce Clayton: 1991-2007
colonba01,Bartolo Colon: 1997-2018
hawkila01,LaTroy Hawkins: 1995-2015
hillri01,Rich Hill: 2005-2023
loftoke01,Kenny Lofton: 1991-2007
mulhote01,Terry Mulholland: 1986-2006
reyesde01,Dennys Reyes: 1997-2011
rodnefe01,Fernando Rodney: 2002-2019
tavarju01,Julian Tavarez: 1993-2009
whiteri01,Rick White: 1994-2007
zeileto01,Todd Zeile: 1989-2004
branyru01,Russell Branyan: 1998-2011
brettke01,Ken Brett: 1967-1981
byrdma01,Marlon Byrd: 2002-2016
clippty01,Tyler Clippard: 2007-2022
davisto02,Tommy Davis: 1959-1976
detwiro01,Ross Detwiler: 2007-2022
embreal01,Alan Embree: 1992-2009
evelada01,Dana Eveland: 2005-2016
guilljo01,Jose Guillen: 1997-2010
hernaro01,Roberto Hernandez: 1991-2007
jarvike01,Kevin Jarvis: 1994-2006
maybica01,Cameron Maybin: 2007-2021
micelda01,Dan Miceli: 1993-2006
millebo04,Bob Miller: 1957-1974
riverre01,Rene Rivera: 2004-2021
sprinru01,Russ Springer: 1992-2010
swarzan01,Anthony Swarzak: 2009-2021
tomkobr01,Brett Tomko: 1997-2011
wrighja01,Jamey Wright: 1996-2014
berroge01,Geronimo Berroa: 1989-2000
bordepa01,Pat Borders: 1988-2005
boyerbl01,Blaine Boyer: 2005-2018
braggda01,Darren Bragg: 1994-2004
brunege01,George Brunet: 1956-1971
cabreor01,Orlando Cabrera: 1997-2011
cahiltr01,Trevor Cahill: 2009-2021
cairomi01,Miguel Cairo: 1996-2012
cardejo02,Jose Cardenal: 1963-1980
chaveje01,Jesse Chavez: 2008-2023
cookde01,Dennis Cook: 1988-2002
cruzjo02,Jose Cruz: 1997-2008
desseel01,Elmer Dessens: 1996-2010
dukeza01,Zach Duke: 2005-2019
farnsky01,Kyle Farnsworth: 1999-2014
fasansa01,Sal Fasano: 1996-2008
fasseje01,Jeff Fassero: 1991-2006
francti01,Tito Francona: 1956-1970
gaudich01,Chad Gaudin: 2003-2013
gossari01,Rich Gossage: 1972-1994
grillja01,Jason Grilli: 2000-2017
hairsje02,Jerry Hairston: 1998-2013
henderi01,Rickey Henderson: 1979-2003
hernajo01,Jose Hernandez: 1991-2006
hernali01,Livan Hernandez: 1996-2012
hubbatr01,Trent Hubbard: 1994-2003
izturce01,Cesar Izturis: 2001-2013
klinero01,Ron Kline: 1952-1970
kratzer01,Erik Kratz: 2010-2020
lapoida01,Dave LaPoint: 1980-1991
leblawa01,Wade LeBlanc: 2008-2021
littldi01,Dick Littlefield: 1950-1958
lucrojo01,Jonathan Lucroy: 2010-2021
maddumi01,Mike Maddux: 1986-2000
marquja01,Jason Marquis: 2000-2015
marshmi01,Mike Marshall: 1967-1981
martida01,Dave Martinez: 1986-2001
mcelrch01,Chuck McElroy: 1989-2001
melanma01,Mark Melancon: 2009-2022
merckke01,Kent Mercker: 1989-2008
milonto01,Tommy Milone: 2011-2023
montawi01,Willie Montanez: 1966-1982
myersmi01,Mike Myers: 1995-2007
newsobo01,Bobo Newsom: 1929-1953
nixonot01,Otis Nixon: 1983-1999
oliveda02,Darren Oliver: 1993-2013
olsongr01,Gregg Olson: 1988-2001
oroscje01,Jesse Orosco: 1979-2003
quallch01,Chad Qualls: 2004-2017
rhodear01,Arthur Rhodes: 1991-2011
sanchre01,Rey Sanchez: 1991-2005
santibe01,Benito Santiago: 1986-2005
schatda01,Dan Schatzeder: 1977-1991
seaneru01,Rudy Seanez: 1989-2008
servisc01,Scott Service: 1988-2004
sierrru01,Ruben Sierra: 1986-2006
soriajo01,Joakim Soria: 2007-2021
weathda01,David Weathers: 1991-2009
wellsda01,David Wells: 1987-2007
wellski01,Kip Wells: 1999-2012
wilheho01,Hoyt Wilhelm: 1952-1972
wilsojo03,Josh Wilson: 2005-2015
worreti01,Tim Worrell: 1993-2006
zaungr01,Gregg Zaun: 1995-2010
aardsda01,David Aardsma: 2004-2015
aceveju01,Juan Acevedo: 1995-2003
alberma01,Matt Albers: 2006-2019
alexado01,Doyle Alexander: 1971-1989
astacpe01,Pedro Astacio: 1992-2006
axforjo01,John Axford: 2009-2021
bautijo02,Jose Bautista: 2004-2018
beniqju01,Juan Beniquez: 1971-1988
bennega01,Gary Bennett: 1995-2008
benoijo01,Joaquin Benoit: 2001-2017
blairwi01,Willie Blair: 1990-2001
bondsbo01,Bobby Bonds: 1968-1981
bonifem01,Emilio Bonifacio: 2007-2020
bonilbo01,Bobby Bonilla: 1986-2001
botteke01,Kent Bottenfield: 1992-2001
